How worried are you about getting the COVID19?,How worried are you about getting the flu?,Did you get a flu shot this past year?,Do you think that you will get sick from the COVID19?,How likely do you think it is that you or someone you know may get sick from COVID19 this year?,Correctly identified 3 symptoms of the COVID19,Correctly identified 3 prevention methods of the COVID19,How confident are you that the government can prevent a nationwide outbreak at the COVID19?,How prepared do you think you are if there were to be a widespread COVID19 outbreak?,How much has the COVID19 change your daily routine?,Are you changing any plans that you have made because at the COVID19?
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Not at all likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Not at all likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Not that likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,its possible,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Not that likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,its possible,Not that likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,its possible,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Not that likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Not that likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Not that likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,its possible,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,Not at all,Not at all likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Not that likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Not that likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,its possible,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,Not at all,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,Not at all,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,its possible,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,its possible,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,Not at all,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,Not at all,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,No
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,Some,No
Very worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,Yes,Not confident at all,Not prepared,A little,Yes
Very worried,Somewhat worried,Yes,I probably will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Very likely,Yes,NO,Not very confident,Somewhat prepared,Some,Yes
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,A little prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,No
Very worried,Very worried,Yes,I definitely will,Very likely,Yes,Yes,Not very confident,Somewhat prepared,A lot,Yes
Somewhat worried,Somewhat worried,Yes,I probably will,Somewhat likely,NO,NO,Not very confident,A little prepared,Some,Yes
Very worried,Somewhat worried,Yes,I definitely will,Somewhat likely,NO,NO,Not confident at all,Not prepared,Some,Yes
